hmm_matched_lat,hmm_matched_lon
52.4022111,-1.5040536
52.4022111,-1.5040536
52.4022111,-1.5040536
52.4022111,-1.5040536
52.402586,-1.5034172
52.4027746,-1.5030315
52.4027876,-1.5029454
52.4027876,-1.5029454
52.4027876,-1.5029454
52.4027627,-1.5024135
52.4027627,-1.5024135
52.4027627,-1.5024135
52.4027627,-1.5024135
52.4025457,-1.5016903
52.4025759,-1.5013324
52.4025577,-1.5010657
52.402461,-1.5010572
52.402461,-1.5010572
52.4024367,-1.5010831
52.4024367,-1.5010831
52.4024367,-1.5010831
52.4024367,-1.5010831
52.4024367,-1.5010831
52.402417,-1.5012998
52.402439,-1.501341
52.402439,-1.501341
52.402439,-1.501341
52.402439,-1.501341
52.402439,-1.501341
52.402439,-1.501341
52.402439,-1.501341
52.402439,-1.501341
52.4025759,-1.5013324
52.4025759,-1.5013324
52.4025759,-1.5013324
52.4025759,-1.5013324
52.4025577,-1.5010657
52.4025577,-1.5010657
52.4025577,-1.5010657
52.4025577,-1.5010657
52.4025577,-1.5010657
52.4025577,-1.5010657
52.4025089,-1.5008113
52.4025089,-1.5008113
52.4025089,-1.5008113
52.4025089,-1.5008113
52.402461,-1.5010572
52.402461,-1.5010572
52.402461,-1.5010572
52.402461,-1.5010572
52.402461,-1.5010572
52.402461,-1.5010572
52.4025577,-1.5010657
52.4025577,-1.5010657
52.4025577,-1.5010657
52.4025577,-1.5010657
52.4025577,-1.5010657
52.4025577,-1.5010657
52.4025089,-1.5008113
52.402461,-1.5010572
52.402461,-1.5010572
52.402461,-1.5010572
52.402461,-1.5010572
52.402461,-1.5010572
52.4025577,-1.5010657
52.4025759,-1.5013324
52.4025759,-1.5013324
52.4025759,-1.5013324
52.402439,-1.501341
52.402417,-1.5012998
52.402417,-1.5012998
52.402417,-1.5012998
52.402417,-1.5012998
52.402417,-1.5012998
52.402417,-1.5012998
52.402417,-1.5012998
52.402417,-1.5012998
52.4024367,-1.5010831
52.4024367,-1.5010831
52.4024367,-1.5010831
52.4024367,-1.5010831
52.4024367,-1.5010831
52.4024367,-1.5010831
52.4024367,-1.5010831
52.402461,-1.5010572
52.402461,-1.5010572
